number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_kbest_k,params_lr,params_num_blocks,params_residual_init,params_use_select_kbest,params_use_standard_scaler,params_use_variance_threshold,params_var_threshold,state
28,0.016450703144073486,2025-08-08 16:59:56.350309,2025-08-08 16:59:56.919795,0 days 00:00:00.569486,64,0.05939234927214217,192,4339.0,0.0014168252173644728,7,1.7434374434379158,True,True,False,,PRUNED
29,-10.303489685058594,2025-08-08 16:59:56.920568,2025-08-08 16:59:57.584766,0 days 00:00:00.664198,256,0.021237905357493897,64,,0.00043124327781231573,7,1.2090489711018628,False,True,True,0.0017599264236229234,PRUNED
30,-17.482349395751953,2025-08-08 16:59:57.585348,2025-08-08 16:59:58.101627,0 days 00:00:00.516279,128,0.06855789513151825,320,11086.0,0.0003138273544500439,3,0.5819377882219341,True,True,False,,PRUNED
31,-7.764036178588867,2025-08-08 16:59:58.102171,2025-08-08 16:59:58.605400,0 days 00:00:00.503229,256,0.11687987242878359,128,8308.0,0.00015069421280173553,5,1.06868046541555,True,True,False,,PRUNED
32,0.919898271560669,2025-08-08 16:59:58.605923,2025-08-08 17:00:05.920526,0 days 00:00:07.314603,256,0.14368693319921225,128,7841.0,0.0006118620225849257,5,1.2469031717299075,True,True,False,,COMPLETE
33,0.8260635137557983,2025-08-08 17:00:05.921299,2025-08-08 17:00:09.984534,0 days 00:00:04.063235,256,0.14780558803633204,192,7657.0,0.0006720843486845807,5,0.8859797050197014,True,True,False,,PRUNED
34,-8.497330665588379,2025-08-08 17:00:09.985214,2025-08-08 17:00:10.984604,0 days 00:00:00.999390,256,0.02186340380940332,192,14294.0,7.405140747045192e-05,4,0.9378488848725007,True,True,True,0.13210778797565242,PRUNED
35,-8.227577209472656,2025-08-08 17:00:10.985155,2025-08-08 17:00:11.458832,0 days 00:00:00.473677,256,0.207852863632178,64,4439.0,0.00024826068270932184,6,1.2299760244760733,True,True,False,,PRUNED
36,-13.941080093383789,2025-08-08 17:00:11.459441,2025-08-08 17:00:11.955923,0 days 00:00:00.496482,256,0.14763701067250828,192,10598.0,0.0012383547384848266,4,1.1404533140936362,True,True,False,,PRUNED
37,-1880.365234375,2025-08-08 17:00:11.956454,2025-08-08 17:00:12.028260,0 days 00:00:00.071806,64,0.04352239009016715,256,,0.0005422695507765534,5,0.9736233540434188,False,False,False,,PRUNED
38,-110.66087341308594,2025-08-08 17:00:12.028821,2025-08-08 17:00:12.827722,0 days 00:00:00.798901,32,0.07746749015569815,512,3178.0,0.002066950721173002,3,1.4747132608391718,True,True,True,0.1480891253972607,PRUNED
39,-0.39515113830566406,2025-08-08 17:00:12.828305,2025-08-08 17:00:13.391522,0 days 00:00:00.563217,256,0.230100600319526,320,7445.0,8.325855758175107e-05,5,0.7853677948501934,True,True,False,,PRUNED
40,-10.74543571472168,2025-08-08 17:00:13.392333,2025-08-08 17:00:13.905655,0 days 00:00:00.513322,32,0.2913748321612037,128,738.0,0.0006873627112343127,4,0.384838099632687,True,False,True,0.00399712959778302,PRUNED
41,0.898857057094574,2025-08-08 17:00:13.906208,2025-08-08 17:00:21.986830,0 days 00:00:08.080622,256,0.1231854417817217,128,9100.0,0.00014234055855675,6,1.3483648482687878,True,True,False,,COMPLETE
42,-6.9475836753845215,2025-08-08 17:00:21.987620,2025-08-08 17:00:22.494380,0 days 00:00:00.506760,256,0.0985582258978975,128,11379.0,0.00010216574911261219,5,1.2337802375200324,True,True,False,,PRUNED
43,-76.49534606933594,2025-08-08 17:00:22.495026,2025-08-08 17:00:22.986760,0 days 00:00:00.491734,256,0.1643553713018808,64,5514.0,0.009514745498470655,5,1.6753200385133367,True,True,False,,PRUNED
44,0.9381188750267029,2025-08-08 17:00:22.987417,2025-08-08 17:00:30.353183,0 days 00:00:07.365766,256,0.1397421093661576,128,9311.0,0.00035997436428933903,4,1.2988920289737498,True,True,False,,COMPLETE
45,-0.8107653856277466,2025-08-08 17:00:30.353846,2025-08-08 17:00:30.889357,0 days 00:00:00.535511,128,0.13867408856737531,192,9550.0,0.00036338919527747766,4,1.289645406381184,True,True,False,,PRUNED
46,-11.126468658447266,2025-08-08 17:00:30.889905,2025-08-08 17:00:31.205944,0 days 00:00:00.316039,256,0.2743866151136074,64,,0.000230876817709235,3,1.4928211458543792,False,True,False,,PRUNED
47,-8.218799591064453,2025-08-08 17:00:31.206583,2025-08-08 17:00:31.710975,0 days 00:00:00.504392,64,0.18276736695977858,384,13287.0,0.00037500593445015173,2,1.0044939384546694,True,True,False,,PRUNED
48,-398.5038757324219,2025-08-08 17:00:31.711501,2025-08-08 17:00:31.918522,0 days 00:00:00.207021,256,0.01772701487538194,256,7351.0,2.0307357441308018e-05,4,1.1061019899587559,True,False,False,,PRUNED
49,-0.7059663534164429,2025-08-08 17:00:31.919077,2025-08-08 17:00:32.651727,0 days 00:00:00.732650,32,0.19625799948291647,448,10117.0,4.898350467309586e-05,5,1.8760115626094191,True,True,False,,PRUNED
